+,"28, 753"
๑,"81, 753"
๒,"134, 753"
๓,"187, 753"
๔,"240, 753"
ู,"293, 753"
฿,"346, 753"
๕,"399, 753"
๖,"452, 753"
๗,"505, 753"
๘,"558, 753"
๙,"611, 753"
๐,"28, 839"
"""","81, 839"
ฎ,"134, 839"
ฑ,"187, 839"
ธ,"240, 839"
ํ,"293, 839"
๊,"346, 839"
ณ,"399, 839"
ฯ,"452, 839"
ญ,"505, 839"
ฐ,"558, 839"
",","611, 839"
ฤ,"28, 925"
ฆ,"81, 925"
ฏ,"134, 925"
โ,"187, 925"
ฌ,"240, 925"
็,"293, 925"
๋,"346, 925"
ษ,"399, 925"
ศ,"452, 925"
ซ,"505, 925"
.,"558, 925"
ฅ,"611, 925"
(,"81, 1011"
),"134, 1011"
ฉ,"187, 1011"
ฮ,"240, 1011"
ฺ,"293, 1011"
์,"346, 1011"
?,"399, 1011"
ฒ,"452, 1011"
ฬ,"505, 1011"
ฦ,"558, 1011"
sl,"25, 1008"
sr,"25, 1008"
 ,"319, 1092"
enter,"613, 1006"
